densidad,idx,final_best,found_at,archivo
0.7,7,8,0.010706,new_1000_dataset/erdos_n1000_p0c0.7_7.graph
0.7,8,8,0.004277,new_1000_dataset/erdos_n1000_p0c0.7_8.graph
0.7,9,8,0.000684,new_1000_dataset/erdos_n1000_p0c0.7_9.graph
0.7,10,8,0.025040,new_1000_dataset/erdos_n1000_p0c0.7_10.graph
0.7,11,8,0.008666,new_1000_dataset/erdos_n1000_p0c0.7_11.graph
0.7,12,8,0.001452,new_1000_dataset/erdos_n1000_p0c0.7_12.graph
0.7,13,9,0.811941,new_1000_dataset/erdos_n1000_p0c0.7_13.graph
0.7,14,8,0.049398,new_1000_dataset/erdos_n1000_p0c0.7_14.graph
0.7,15,8,0.001557,new_1000_dataset/erdos_n1000_p0c0.7_15.graph
0.7,16,8,0.006865,new_1000_dataset/erdos_n1000_p0c0.7_16.graph
0.7,17,9,0.020619,new_1000_dataset/erdos_n1000_p0c0.7_17.graph
0.7,18,8,0.002483,new_1000_dataset/erdos_n1000_p0c0.7_18.graph
0.7,19,9,2.131099,new_1000_dataset/erdos_n1000_p0c0.7_19.graph
0.7,20,8,0.000754,new_1000_dataset/erdos_n1000_p0c0.7_20.graph
0.7,21,8,0.003115,new_1000_dataset/erdos_n1000_p0c0.7_21.graph
0.7,22,8,0.089787,new_1000_dataset/erdos_n1000_p0c0.7_22.graph
0.7,23,8,0.000620,new_1000_dataset/erdos_n1000_p0c0.7_23.graph
0.7,24,8,0.001562,new_1000_dataset/erdos_n1000_p0c0.7_24.graph
0.7,25,9,6.894614,new_1000_dataset/erdos_n1000_p0c0.7_25.graph
0.7,26,8,0.001626,new_1000_dataset/erdos_n1000_p0c0.7_26.graph
0.7,27,8,0.002858,new_1000_dataset/erdos_n1000_p0c0.7_27.graph
0.7,28,8,0.000714,new_1000_dataset/erdos_n1000_p0c0.7_28.graph
0.7,29,8,0.000612,new_1000_dataset/erdos_n1000_p0c0.7_29.graph
0.7,30,9,3.306268,new_1000_dataset/erdos_n1000_p0c0.7_30.graph
0.8,1,7,0.035520,new_1000_dataset/erdos_n1000_p0c0.8_1.graph
0.8,2,7,0.098032,new_1000_dataset/erdos_n1000_p0c0.8_2.graph
0.8,3,6,0.000785,new_1000_dataset/erdos_n1000_p0c0.8_3.graph
0.8,4,7,0.224751,new_1000_dataset/erdos_n1000_p0c0.8_4.graph
0.8,5,6,0.000700,new_1000_dataset/erdos_n1000_p0c0.8_5.graph
0.8,6,6,0.001444,new_1000_dataset/erdos_n1000_p0c0.8_6.graph
0.8,7,7,0.309730,new_1000_dataset/erdos_n1000_p0c0.8_7.graph
0.8,8,7,0.740523,new_1000_dataset/erdos_n1000_p0c0.8_8.graph
0.8,9,7,0.202178,new_1000_dataset/erdos_n1000_p0c0.8_9.graph
0.8,10,7,0.040311,new_1000_dataset/erdos_n1000_p0c0.8_10.graph
0.8,11,7,0.087408,new_1000_dataset/erdos_n1000_p0c0.8_11.graph
0.8,12,7,0.002347,new_1000_dataset/erdos_n1000_p0c0.8_12.graph
0.8,13,7,0.015096,new_1000_dataset/erdos_n1000_p0c0.8_13.graph
0.8,14,7,0.021245,new_1000_dataset/erdos_n1000_p0c0.8_14.graph
0.8,15,6,0.001445,new_1000_dataset/erdos_n1000_p0c0.8_15.graph
0.8,16,6,0.002091,new_1000_dataset/erdos_n1000_p0c0.8_16.graph
0.8,17,7,0.084414,new_1000_dataset/erdos_n1000_p0c0.8_17.graph
0.8,18,7,0.009971,new_1000_dataset/erdos_n1000_p0c0.8_18.graph
0.8,19,6,0.003207,new_1000_dataset/erdos_n1000_p0c0.8_19.graph
0.8,20,6,0.000790,new_1000_dataset/erdos_n1000_p0c0.8_20.graph
0.8,21,7,0.002142,new_1000_dataset/erdos_n1000_p0c0.8_21.graph
0.8,22,7,0.838341,new_1000_dataset/erdos_n1000_p0c0.8_22.graph
0.8,23,6,0.002331,new_1000_dataset/erdos_n1000_p0c0.8_23.graph
0.8,24,7,1.437788,new_1000_dataset/erdos_n1000_p0c0.8_24.graph
0.8,25,7,0.032137,new_1000_dataset/erdos_n1000_p0c0.8_25.graph
0.8,26,7,0.015903,new_1000_dataset/erdos_n1000_p0c0.8_26.graph
0.8,27,6,0.002962,new_1000_dataset/erdos_n1000_p0c0.8_27.graph
0.8,28,6,0.000699,new_1000_dataset/erdos_n1000_p0c0.8_28.graph
0.8,29,6,0.000634,new_1000_dataset/erdos_n1000_p0c0.8_29.graph
0.8,30,7,0.741853,new_1000_dataset/erdos_n1000_p0c0.8_30.graph
0.9,1,4,0.000718,new_1000_dataset/erdos_n1000_p0c0.9_1.graph
0.9,2,4,0.000754,new_1000_dataset/erdos_n1000_p0c0.9_2.graph
0.9,3,5,0.010003,new_1000_dataset/erdos_n1000_p0c0.9_3.graph
0.9,4,5,0.011170,new_1000_dataset/erdos_n1000_p0c0.9_4.graph
0.9,5,5,0.012669,new_1000_dataset/erdos_n1000_p0c0.9_5.graph
0.9,6,5,0.142983,new_1000_dataset/erdos_n1000_p0c0.9_6.graph
0.9,7,4,0.000665,new_1000_dataset/erdos_n1000_p0c0.9_7.graph
0.9,8,5,0.002249,new_1000_dataset/erdos_n1000_p0c0.9_8.graph
0.9,9,5,0.001563,new_1000_dataset/erdos_n1000_p0c0.9_9.graph
0.9,10,4,0.000658,new_1000_dataset/erdos_n1000_p0c0.9_10.graph
0.9,11,5,0.016061,new_1000_dataset/erdos_n1000_p0c0.9_11.graph
0.9,12,5,0.003131,new_1000_dataset/erdos_n1000_p0c0.9_12.graph
0.9,13,5,0.047414,new_1000_dataset/erdos_n1000_p0c0.9_13.graph
0.9,14,5,0.000922,new_1000_dataset/erdos_n1000_p0c0.9_14.graph
0.9,15,5,0.001755,new_1000_dataset/erdos_n1000_p0c0.9_15.graph
0.9,16,5,0.002850,new_1000_dataset/erdos_n1000_p0c0.9_16.graph
0.9,17,5,0.007336,new_1000_dataset/erdos_n1000_p0c0.9_17.graph
0.9,18,5,0.001561,new_1000_dataset/erdos_n1000_p0c0.9_18.graph
0.9,19,5,0.005725,new_1000_dataset/erdos_n1000_p0c0.9_19.graph
0.9,20,5,0.016491,new_1000_dataset/erdos_n1000_p0c0.9_20.graph
0.9,21,5,0.016648,new_1000_dataset/erdos_n1000_p0c0.9_21.graph
0.9,22,5,0.000611,new_1000_dataset/erdos_n1000_p0c0.9_22.graph
0.9,23,5,0.013219,new_1000_dataset/erdos_n1000_p0c0.9_23.graph
0.9,24,5,0.008369,new_1000_dataset/erdos_n1000_p0c0.9_24.graph
0.9,25,5,0.001586,new_1000_dataset/erdos_n1000_p0c0.9_25.graph
0.9,26,5,0.001577,new_1000_dataset/erdos_n1000_p0c0.9_26.graph
0.9,27,5,0.003282,new_1000_dataset/erdos_n1000_p0c0.9_27.graph
0.9,28,5,0.001881,new_1000_dataset/erdos_n1000_p0c0.9_28.graph
0.9,29,5,0.006928,new_1000_dataset/erdos_n1000_p0c0.9_29.graph
0.9,30,5,0.002956,new_1000_dataset/erdos_n1000_p0c0.9_30.graph
